UBIGEO,PET,PEA,PEA_ASALARIADA,INT_MERCADO,PROVINCIA,IDH_2017,ING_2017
0101,41092,24177,11906,49.2451503495057,Chachapoyas,0.517913447351357,838.090032688896
0102,49607,26077,12446,47.7278828086053,Bagua,0.445895729105344,657.149215798049
0103,18367,10876,3897,35.8311879367415,Bongará,0.3968418624681,595.906249262608
0104,22579,8534,2599,30.454651980314,Condorcanqui,0.246730086355404,237.83964349099
0105,30520,15068,5148,34.1651181311388,Luya,0.337652653768855,452.954369576965
0106,20762,11758,3809,32.3949651301242,Rodríguez de Mendoza,0.347851022645374,497.231005202302
0107,74150,39922,21409,53.6270727919443,Utcubamba,0.454328672231303,776.475426971533
0201,121924,68180,34317,50.3329422117923,Huaraz,0.533717663991131,806.262671058574
0202,4594,2551,1265,49.5883967071737,Aija,0.364344755010261,580.289901075584
0203,8978,3180,1378,43.3333333333333,Antonio Raymondi,0.332778084251786,376.813264349784
0204,5307,2044,1092,53.4246575342466,Asunción,0.386803886084025,567.87755382289
0205,17612,9534,4372,45.8569330816027,Bolognesi,0.44311480906994,705.553912727683
0206,33146,15539,5952,38.3036231417723,Carhuaz,0.409353137850291,505.817561270073
0207,12247,4033,1719,42.6233573022564,Carlos Fermín Fitzcarrald,0.310889007824351,372.365514892369
0208,36654,21665,11289,52.1070851603969,Casma,0.53026693326285,851.064237774613
0209,5461,2322,997,42.9371231696813,Corongo,0.3747201499443,509.142794127823
0210,42046,19098,10998,57.5871819038643,Huari,0.430960042693946,614.821727212222
0211,22430,13700,6651,48.5474452554745,Huarmey,0.54638996367701,838.132819987218
0212,36159,18069,7326,40.5445791133986,Huaylas,0.39944213095864,546.828463879425
0213,13654,3898,1380,35.4027706516162,Mariscal Luzuriaga,0.272643973161045,261.905046649228
0214,5310,3257,1327,40.7430150445195,Ocros,0.473567121648283,658.010487328556
0215,15760,6293,2590,41.1568409343715,Pallasca,0.320571632894292,424.051165899116
0216,16717,5073,2527,49.812734082397,Pomabamba,0.331994106520357,392.118626250296
0217,12833,6036,2542,42.1139827700464,Recuay,0.411988267139822,569.328915028739
0218,325973,187628,97552,51.9922399641844,Santa,0.56581469348458,862.364169252731
0219,18178,6513,2170,33.3179794257639,Sihuas,0.306837435565325,308.400615427367
0220,36347,17523,5297,30.2288420932489,Yungay,0.326826100630472,397.32791863079
0301,80841,48966,23070,47.1143242249724,Abancay,0.498900581206978,680.785472244115
0302,100118,52169,20952,40.161781901129,Andahuaylas,0.420118137197915,477.937581202464
0303,8163,4818,1826,37.8995433789954,Antabamba,0.303889996574536,497.632657423918
0304,18064,10857,3258,30.0082895827577,Aymaraes,0.352170921637334,434.667599561077
0305,35266,17378,8617,49.5856830475314,Cotabambas,0.402846047829389,491.460253028963
0306,30972,13982,5056,36.1607781433271,Chincheros,0.34181252305521,363.304693665287
0307,15033,6257,2114,33.7861595013585,Grau,0.309970236433307,322.204614000239
0401,830700,533659,291596,54.640884909652,Arequipa,0.64583257029584,1101.56156781162
0402,44287,29339,15558,53.0283922424077,Camaná,0.617329865010342,1019.88688678719
0403,30582,21146,11211,53.017119076894,Caravelí,0.606242003487963,1086.9704005929
0404,24666,16760,9021,53.8245823389021,Castilla,0.556495634944565,1037.35671554886
0405,63019,44728,22598,50.5231622250045,Caylloma,0.586179769831484,1044.86607263556
0406,12336,8507,5127,60.2680145762313,Condesuyos,0.603604897599348,1223.76817632642
0407,40194,26172,14095,53.8552651688828,Islay,0.615300027703548,1102.47977026868
0408,9001,5918,1505,25.4308888137884,La Unión,0.389511221042549,466.138873966992
0501,203033,120398,54912,45.6087310420439,Huamanga,0.444056640312138,581.140032579641
0502,21646,10569,3260,30.8449238338537,Cangallo,0.331032851229047,319.673791536317
0503,6051,3045,1435,47.1264367816092,Huanca Sancos,0.379317222229765,509.045546517768
0504,61614,35334,13546,38.3370125091979,Huanta,0.384674507857007,450.843451392511
0505,48554,27575,8458,30.6727107887579,La Mar,0.334978693238998,355.52695530358
0506,37899,22775,10071,44.2195389681669,Lucanas,0.405426354238107,582.159803204021
0507,19782,11539,5962,51.6682554814109,Parinacochas,0.374001043275683,615.575344932563
0508,7127,4311,1987,46.0913941080956,Páucar del Sara Sara,0.421205014103444,569.807432549448
0509,6917,3627,1617,44.5822994210091,Sucre,0.378855393132673,505.522494181815
0510,15131,7973,3217,40.3486767841465,Víctor Fajardo,0.37278071366083,440.365219998774
0511,12395,5001,2124,42.4715056988602,Vilcas Huamán,0.30468358147694,373.33316431117
0601,249540,133437,66704,49.9891334487436,Cajamarca,0.486828419023565,721.825858431657
0602,49841,23742,9379,39.5038328700194,Cajabamba,0.344885816777599,461.630517611078
0603,54529,26934,8157,30.2851414568946,Celendín,0.318889799908426,386.265646603202
0604,102550,48469,16387,33.8092388949638,Chota,0.335744717792426,429.954492843279
0605,20164,9400,4111,43.7340425531915,Contumazá,0.385567053409042,557.815397816048
0606,84632,41305,14244,34.4849291853287,Cutervo,0.350376879764367,443.175476888226
0607,57411,28053,10932,38.9690942145225,Hualgayoc,0.367013699743788,527.451224905808
0608,131040,74803,33733,45.095784928412,Jaén,0.454849144659918,666.483982973908
0609,85732,49832,14677,29.4529619521593,San Ignacio,0.349343744064424,415.441509125048
0610,33509,15038,6564,43.6494214656204,San Marcos,0.325566677498579,474.796545077307
0611,34114,16216,6442,39.7261963492847,San Miguel,0.371518809534588,507.269279246696
0612,14718,7047,2123,30.1262948772527,San Pablo,0.289133225663714,377.75378736949
0613,27204,13568,5186,38.2222877358491,Santa Cruz,0.377784266551957,520.61723869914
