"UBIPROV_INEI","PROVINCIA.x","AGUA_2017","DESAGUE_2017","LUZ_2017","PROMEDIO_SSBB_2017","AGUA_2007","DESAGUE_2007","LUZ_2007","PROMEDIO_SSBB_2007","AGUA_1993","DESAGUE_1993","LUZ_1993","PROMEDIO_SSBB_1993"
"0101","Chachapoyas",95.1925137509822,72.7623401671548,87.4919637116937,85.1489392099436,65.4553817847286,58.6016559337627,71.5808034345293,65.2126137176735,53.9639826122956,30.7803767335955,33.9577727178638,39.567377354585
"0102","Bagua",84.047131147541,43.5245901639344,67.6434426229508,65.0717213114754,53.0826177080249,33.6334024281907,50.9920047379331,45.9026749580495,32.6870437956204,20.3619221411192,23.7378345498783,25.595600162206
"0103","Bongara",92.4329501915709,60.6185002736727,82.4438970990695,78.4984491881044,47.4533772136029,41.7019275975552,54.4742203416392,47.8765083842658,44.9891330596474,19.6570876599855,28.2781936730258,30.9748047975529
"0104","Condorcanqui",59.0881020996295,5.51667352820091,18.4438040345821,27.6828598874708,7.8150289017341,1.91907514450867,9.54913294797688,6.42774566473988,3.26538316345791,0.792751981879955,3.85050962627407,2.63621492387064
"0105","Luya",95.6337696950694,50.4820882652661,85.3335423688955,77.1498001097437,27.5776290958998,25.4417567335735,50.7720020586722,34.5971292960485,32.2513740537177,7.17618998237063,5.66213833869128,15.0299007915932
"0106","Rodríguez de Mendoza",86.5678346810422,48.6185983827493,77.437106918239,70.8745133273435,40.3323040729305,28.2458461990884,51.0660197029849,39.8813899916679,26.7195200342833,11.8920077137347,18.7486608099421,19.1200628526534
"0107","Utcubamba",90.3287752872231,41.403171870344,80.770122173294,70.8340231102871,41.0136269571668,28.651751200656,44.9845769395963,38.2166516991397,27.5132550161139,11.3421353571057,12.7404096059881,17.1985999930693
"0201","Huaraz",96.9049726135521,76.7681599655577,89.6625128560836,87.7785484783978,83.8537046046418,61.319863778153,82.2482328363335,75.8072670730428,53.0975898854208,35.2390359541683,50.8060055314105,46.3808771236665
"0202","Aija",89.2838742916023,44.0494590417311,78.7223080886141,70.6852138073158,39.3838862559242,23.4597156398104,68.1516587677725,43.6650868878357,33.4008097165992,10.5769230769231,29.4028340080972,24.4601889338731
"0203","Antonio Raymondi",97.2266244057052,37.8499735868991,81.5900686740623,72.2222222222222,83.5990888382688,19.6912174133131,60.6175651733738,54.6359571416519,24.7645711376941,4.1740900992619,5.44667854415882,11.4617799270383
"0204","Asunción",96.1772371850565,55.8210251954822,88.2710686359687,80.0897770055025,59.3013100436681,22.0087336244541,62.1397379912664,47.8165938864629,20.9270307480496,5.36943552088114,14.3643873336393,13.5536178675233
"0205","Bolognesi",89.4837195658551,64.4910530947492,78.8354356116163,77.6034027574069,54.9866310160428,33.6497326203209,66.5508021390374,51.729055258467,49.5804504637126,14.8093625791256,25.9531871043721,30.1143333824035
"0206","Carhuaz",94.5320310697531,56.1024378989464,79.581635007306,76.7387013253352,80.4576825281511,33.1274972756992,75.9262622593534,63.1704806877346,24.7216517133283,9.97729975137823,29.7481353367204,21.4823622671423
"0207","Carlos Fermín Fitzcarrald",92.7139552814187,30.0308404009252,65.497301464919,62.7473657157543,8.55957767722474,13.4238310708899,30.7880844645551,17.5904977375566,9.75500112384806,2.49494268374916,5.30456282310632,5.85150221023451
"0208","Casma",85.625987226152,49.090035025067,79.9189616097795,71.5449946203329,77.2092126818927,44.1649802447721,76.4864604413607,65.9535511226752,55.8076715289033,34.2382495948136,48.8249594813614,46.2902935350261
"0209","Corongo",89.679012345679,55.9012345679012,89.679012345679,78.4197530864197,68.2247899159664,41.7542016806723,67.5945378151261,59.1911764705882,40.6641262928688,12.1393576483397,38.1056069678824,30.3030303030303
"0210","Huari",97.4047092493821,60.3746585143749,80.7792376739951,79.5195351459173,78.6907981415991,23.8679703210596,67.4086401775189,56.6558028800592,29.4644125586021,6.60605199602216,8.16877397357579,14.7464128427333
"0211","Huarmey",81.148429035753,56.6088840736728,83.943661971831,73.9003250270856,75.5680096940321,49.0911844895486,75.9466828233869,66.8686256689892,50.9321860274534,24.9948780987503,51.7721778324114,42.566413986205
"0212","Huaylas",89.4060995184591,45.0066299113685,83.9625933421732,72.7917742573336,68.0964726215728,26.8992065362558,63.1628564694791,52.7195118757692,27.9381824912086,17.5458078845086,37.812326485286,27.7654389536677
"0213","Mariscal Luzuriaga",79.9490229396771,10.2293967714528,69.4987255734919,53.225715094874,25.7434944237918,7.71375464684015,36.5241635687732,23.3271375464684,13.018341307815,2.53189792663477,4.36602870813397,6.63875598086124
"0214","Ocros",75.4021184778344,41.4672420557081,68.7328364064339,61.8673989799922,58.0183048149622,24.4727417429367,58.7345801830481,47.075208913649,34.5914954610607,6.64118490205447,24.7969421882465,22.0098741837872
"0215","Pallasca",90.8352849336456,55.3005464480874,81.3739266198283,75.8365860005204,15.331550049275,23.5956638040265,61.7907926228354,33.5726688253789,43.739061256961,7.95544948289578,20.079554494829,23.9246884115619
"0216","Pomabamba",94.2828341013825,31.4372119815668,67.2667050691244,64.3289170506912,46.1789883268482,15.6420233463035,37.5408560311284,33.1206225680934,14.757864969954,8.11240721102863,13.909508660304,12.2599269470956
"0217","Recuay",84.6577498033045,55.5271439811172,79.6616837136113,73.2821924993443,67.0607419486343,34.8552792498981,65.1243375458622,55.6801195814649,46.9578444154715,16.2103433289874,27.8574532811821,30.3418803418803
"0218","Santa",82.1449677535394,73.098829192254,90.852796834451,82.0321979267482,83.9772192201619,76.7909594385524,85.5254602121124,82.0978796236089,77.759135547825,62.4526675491796,79.2214389065049,73.1444140011698
